hname,aname,year,hgoals,agoals,hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,hsaves,asaves,result
maxico,south africa,2026,2,0,57,36,4,2,16,3,1,2,1,2,12,11,,,
south korea,czechia,2026,2,1,55,34,6,4,15,7,1,0,0,0,9,16,,,
Canada,Bosnia and Herzegovina,2026,1,1,52,29,4,3,13,8,2,3,0,0,10,20,,,
usa,paraguay,2026,4,1,59,28,6,1,16,9,1,5,0,0,13,17,,,
Qatar,Switzerland,2026,1,1,28,58,3,7,6,26,2,1,0,0,12,11,,,
Brazil,Morocco,2026,1,1,46,45,5,3,12,14,2,0,0,0,16,14,,,
haiti,Scotland,2026,0,1,51,40,2,2,15,9,1,3,0,0,23,21,,,
Australia,Türkiye,2026,2,0,27,62,4,7,9,30,0,1,0,0,12,4,,,
germany,Curaçao,2026,7,1,57,35,12,2,26,8,0,0,0,0,18,11,,,
Netherlands,Japan,2026,2,2,54,37,6,2,10,9,0,0,0,0,7,7,,,
haiti,Scotland,2026,0,1,51,40,2,2,15,9,1,3,0,0,23,21,,,
Australia,Türkiye,2026,2,0,27,62,4,7,9,30,0,1,0,0,12,4,,,
spain,cabo verde,2026,0,0,65,25,7,1,27,6,1,1,0,0,10,1,,,
belgium,egypt,2026,1,1,52,38,3,3,15,14,2,2,0,0,15,15,,,
saudi arabia,uruguay,2026,1,1,27,63,3,10,7,27,1,0,0,0,11,6,,,
ir iran,new zealand,2026,2,2,43,45,4,8,17,14,1,0,0,0,10,8,,,
france,senegal,2026,3,1,49,44,8,2,11,6,0,0,0,0,5,9,,,
iraq,norway,2026,1,4,34,57,1,5,11,11,1,0,0,0,12,13,,,
argentina,algeria,2026,3,0,44,50,6,1,10,7,0,0,0,0,13,8,,,
austria,jordan,2026,3,1,53,33,4,4,10,11,1,0,0,0,12,7,,,
portugal,congo dr,2026,1,1,68,25,1,2,7,8,3,1,0,0,9,10,,,
england,croatia,2026,4,2,48,43,11,5,22,10,0,0,0,0,10,12,,,
ghana,panama,2026,1,0,35,55,2,4,7,11,1,2,0,0,9,11,,,
uzbekistan,colombia,2026,1,3,33,56,2,4,8,15,1,1,0,0,14,11,,,
czechia,South Africa,2026,1,1,32,60,3,4,14,17,1,2,0,0,12,10,,,
switzerland,Bosnia and Herzegovina,2026,4,1,57,34,7,3,13,5,1,2,0,1,7,17,,,
canada,qatar,2026,6,0,65,20,11,0,33,2,1,1,0,2,9,10,,,
mexico,korea Republic,2026,1,0,40,51,4,2,8,9,0,2,0,0,9,7,,,
usa,australia,2026,2,0,55,30,2,2,10,5,3,4,0,0,12,16,,,
scotland,morocco,2026,0,1,39,54,0,2,6,12,1,1,0,0,11,8,,,
Brazil,Haiti,2026,3,0,49,43,4,3,7,7,1,3,0,0,13,14,,,
türkiye,paraguay,2026,0,1,67,19,5,2,32,7,1,1,0,1,14,15,,,
netherlands,sweden,2026,5,1,48,43,7,8,10,16,0,3,0,0,9,12,,,
germany,côte d'Ivoire,2026,2,1,49,41,7,2,16,9,0,0,0,0,5,7,,,
ecuador,curaçao,2026,0,0,65,23,15,3,27,10,1,5,0,0,7,10,,,
tunisia,japan,2026,0,4,36,55,0,4,2,10,0,0,0,0,8,15,,,
Spain,Saudi Arabia,2026,4,0,63,29,8,2,22,3,0,2,0,0,10,2,,,
Belgium,Iran,2026,0,0,59,30,7,3,23,7,1,1,1,0,7,9,,,
Uruguay,Cabo Verde,2026,2,2,54,33,2,4,17,12,2,2,0,0,11,2,,,
New Zealand,Egypt,2026,1,3,39,50,5,7,11,19,2,1,0,0,14,8,,,
Argentina,Austria,2026,2,0,48,43,5,1,12,6,2,2,0,0,13,13,,,
France,Iraq,2026,3,0,49,44,5,0,19,4,0,1,0,0,8,4,,,
Norway,Senegal,2026,3,2,40,51,7,4,13,16,0,0,0,0,13,5,,,
Jordan,Algeria,2026,1,2,27,62,4,8,8,17,1,1,0,0,11,6,,,
Portugal,Uzbekistan,2026,5,0,56,34,9,2,17,7,1,1,0,0,14,15,,,
England,Ghana,2026,0,0,72,20,3,0,19,2,1,1,0,0,14,24,,,
Panama,Croatia,2026,0,1,37,52,1,2,8,6,1,1,0,0,19,12,,,
Colombia,Congo DR,2026,1,0,58,32,9,1,20,7,2,1,0,0,12,16,,,
Switzerland,Canada,2026,2,1,48,40,4,7,6,13,1,2,0,0,19,13,,,
Bosnia and Herzegovina,Qatar,2026,3,1,48,42,5,3,14,9,1,1,0,0,9,14,,,
Scotland,Brazil,2026,0,3,42,51,5,9,14,21,1,2,0,0,10,11,,,
Morocco,Haiti,2026,4,2,60,31,11,2,22,9,1,2,0,0,10,18,,,
